练习ID,题目ID,科目,一级模块,二级模块,三级模块,题目来源,题目年份,题目省份,题目来源分类,是否正确,单题用时,练习日期,题目链接
1_1_39q5nul,2741943,行测,政治理论,新思想,政治建设,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第11题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741944,行测,政治理论,新思想,经济建设,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第1题,2021,江苏,公务员,错误,29,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741945,行测,政治理论,新思想,经济建设,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第2题,2021,江苏,公务员,错误,2,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741946,行测,常识判断,法律常识,行政法,2021年江苏省公务员录用考试《行测》题（B类）（网友回忆版）第11题,2021,江苏,公务员,错误,0,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741947,行测,常识判断,经济常识,宏观经济与调控政策,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第6题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741948,行测,重要会议讲话,其他建设,,2021年江苏省公务员录用考试《行测》题（B类）（网友回忆版）第5题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741949,行测,常识判断,管理常识,行政管理,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第13题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741950,行测,党的历史,,,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第4题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741951,行测,重要文件,其他建设,,2021年江苏省公务员录用考试《行测》题（B类）（网友回忆版）第4题,2021,江苏,公务员,正确,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741952,行测,常识判断,人文常识,中国历史,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第8题,2021,江苏,公务员,正确,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741953,行测,政治理论,马克思主义,马克思主义哲学,2021年江苏省公务员录用考试《行测》题（B类）（网友回忆版）第3题,2021,江苏,公务员,错误,0,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741954,行测,常识判断,科技常识,物理常识,2021年江苏省公务员录用考试《行测》题（B类）（网友回忆版）第8题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741955,行测,常识判断,法律常识,劳动法和经济法,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第10题,2021,江苏,公务员,正确,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741956,行测,资料分析,综合资料,,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第116题,2021,江苏,公务员,正确,6,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741957,行测,重要事件,其他建设,,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第14题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741958,行测,数量关系,数字推理,多级数列,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第46题,2021,江苏,公务员,错误,2,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741959,行测,资料分析,综合资料,,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第117题,2021,江苏,公务员,正确,2,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741960,行测,常识判断,管理常识,行政管理,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第15题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741961,行测,资料分析,综合资料,,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第118题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741962,行测,数量关系,数字推理,作商数列,2021年江苏省公务员录用考试《行测》题（A类）（网友回忆版）第47题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741963,行测,资料分析,综合资料,,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第119题,2021,江苏,公务员,正确,0,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741964,行测,数量关系,数学运算,和差倍比问题,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第62题,2021,江苏,公务员,错误,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741965,行测,资料分析,综合资料,,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第120题,2021,江苏,公务员,正确,1,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741966,行测,数量关系,数学运算,和差倍比问题,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第60题,2021,江苏,公务员,错误,0,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
1_1_39q5nul,2741967,行测,判断推理,类比推理,逻辑关系,2021年江苏省公务员录用考试《行测》题（C类）（网友回忆版）第66题,2021,江苏,公务员,错误,2,2025-10-12,https://spa.fenbi.com/ti/exam/solution/1_1_39q5nul?routecs=xingce
